;;;; ;;;;;;;;;;;;;;;;; ONCOPROD RS ; ONCOPROD SP ; ONCOPROD PE ; NORPROD CE ; HOSPLOG DF ;;;; ONCOPROD ES ;;;; Preço Fabrica ;;;;; PMC ;;;;;
1656;01/10/2019;0,02;0,05;FENTANIL 50mcg inj 5 amp x 2ml hosp;FENTANILA ;JANSSEN;3004.90.69;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;SP;PODE ATENDER TODO BRASIL;7,89621E+12;2;0,0422;11,28947368;0;11,46927454;0;11,31635088;11,31635088;11,39229954;11,46927454;11,15523653;11,23559131;11,36802402;11,64248138;11,726;14,13;14,21;14,3;14,66;0;0;0;0;0;Analgésico da anestesia geral e suplemento da anestesia regional, com curta duração
110095;01/10/2019;0,02;0,05;FENTANIL 50mcg inj 5 amp x 5ml hosp;FENTANILA ;JANSSEN;3004.90.69;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;PODE ATENDER TODO BRASIL;7,89621E+12;2;0,0422;23,02901155;0;23,39302987;0;23,08112281;23,08112281;23,23602967;23,39302987;22,75254788;22,91644185;23,1865555;23,74634679;23,9194;28,82;28,99;29,17;29,9;0;0;0;0;0;Analgésico da anestesia geral e suplemento da anestesia regional, com curta duração
276;01/10/2019;0,02;0,05;FENTANIL 50mcg/ml sol inj 5 amp x 10ml hosp;FENTANILA ;JANSSEN;3004.90.69;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;SIM;TRIBUTADO;SIM;IMPORTADO;SP;PODE ATENDER TODO BRASIL, PODEMOS ATENDER DELIVERY;7,89621E+12;2;0,0422;31,49216945;0;31,98079659;0;31,55438596;31,55438596;31,76616037;31,98079659;31,10509575;31,32915583;31,69842924;32,46372208;32,7098;39,41;39,65;39,89;40,89;0;0;0;0;0;Analgésico da anestesia geral e suplemento da anestesia regional, com curta duração
3928;01/10/2019;0,04;0,07;FERINJECT 50MG/ML SOL INJ IV CX C/ AMP X 10ML;CARBOXIMALTOSE FERRICA ;TAKEDA/SHIRE;3004.90.99;NEGATIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89664E+12;3;0,0323;417,6238536;0;417,0656963;0;412,0408084;412,0408084;414,5380254;417,0656963;429,9759036;408,9321563;413,3368542;422,4371813;369,4592;444,31;447,41;450,56;463,6;492,2296;592,23;596,6419394;600,28;617,07;Tratamento é repor as reservas de ferro e tratar a anemia devido à deficiência de ferro
565;01/10/2019;0,04;0,06;FERRIPROX 500 MG C/ 100 CAPS.;DEFERIPRONA ;CHIESI;3004.90.48;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89667E+12;3;0,0323;1271,9;;1271,9;;1240,3;1240,3;1247,81;1255,42;1310,77;1310,77;1260,05;1287,79;1087,9022;1310,73;1318,67;1326,71;1359,88;1503,962;1812,01;1822,984242;1834,1;1879,95;Tratamento do excesso de ferro
90;01/10/2019;0,02;0,05;FILGRASTIM 300 MCG C/5 FR. AMP. 1ML;FILGRASTIM ;ACHE/BIOSINTETICA;3002.10.39;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89618E+12;3;0,0323;530,4238355;0;527,1613607;0;520,810019;520,810019;523,9664434;527,1613607;550,4014813;523,4639027;529,1022472;540,75135;1808,305;2178,68;2191,88;2205,25;2260,38;2499,8766;3011,9;3030,153455;3048,63;3124,84;Redução da duração da neutropenia e incidência de neutropenia febril em pacientes tratados com quimioterapia 
109877;01/10/2019;0,02;0,02;FILGRASTINE 300MCG/ML INJ C/1AMP;FILGRASTIM ;BLAU FARMACEUTICA;3002.15.90;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89601E+12;3;0,0323;33,45320904;0;36,16562967;0;35,72989919;35,72989919;35,94644403;36,16562967;37,76001229;35,91197349;36,29878923;37,09796997;393,2638;473,81;476,68;479,59;491,58;0;655,03;658,99;663,01;679,58;Reversão ou prevenção da diminuição de glóbulos brancos de origem distinta no tratamento quimioterápico
823;01/10/2019;FÁBRICA;FÁBRICA;FIRAZYR 10 MG/ML CX C/ 1 SP C/ 3 ML + AGULHA;ICATIBANTO, ACETATO DE ;TAKEDA/SHIRE;3004.90.99;POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89892E+12;3;0,0323;6794,21;0;6794,21;0;6699,96;6699,96;6753,03297;6794,21;6699,96;6699,96;6794,21;6990,91;5571,2522;6699,96;6746,75;6794,21;6990,92;7422,6236;8930,54;8997,119515;9051,98;9305,13;Tratamento dos sintomas das crises agudas de angioedema hereditário
4455;01/10/2019;0,02;0,05;FIRMAGON 120MG PO LIOF INJ 2FA+2DIL SER;DEGARELIX, ACETATO DE ;FERRING;3004.39.29;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89617E+12;3;0,0323;871,1015404;0;884,828165;0;873,0304561;873,0304561;878,8897209;884,828165;860,5996398;866,7988179;877,0156828;898,1894076;771,1198;929,06;934,69;940,39;963,9;1066,0246;1284,37;1292,15103;1300,03;1332,54;Tratamento de pacientes adultos do sexo masculino com câncer de próstata avançado dependente de hormônios
4454;01/10/2019;0,02;0,05;FIRMAGON 80MG 1AMPX4,2ML+ADAP+AG;DEGARELIX, ACETATO DE ;FERRING;3004.39.29;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89617E+12;3;0,0323;478,4996149;0;486,0335704;0;479,5531228;479,5531228;482,7716001;486,0335704;472,724941;476,1301319;481,7422269;493,3728938;423,5792;510,34;513,43;516,56;529,47;585,5702;705,5;709,7820606;714,11;731,96;Tratamento de pacientes adultos do sexo masculino com câncer de próstata avançado dependente de hormônios
109300;01/10/2019;0,04;0,04;FLAGYL 5 MG/ML INJ BOLS 100ML;METRONIDAZOL ;SANOFI/GENZYME;3004.90.66;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;PODEMOS VENDER BRASIL - NÃO PRECISA PEDIR AUTORIZAÇÃO PARA COTAR;7,89607E+12;2;0,0422;18,20261087;0;18,0933689;0;17,87537651;17,87537651;17,98371212;18,0933689;18,89109187;17,96652991;18,16005134;18,55987634;15,8424;19,09;19,2;19,32;19,8;0;0;0;0;0;Tratamento das infecções pós-cirúrgicas e infecções causadas por bactérias anaeróbias
182;01/10/2019;0,02;FÁBRICA;FLORINEFE 0,1 MG CX C/ 100 COMPR;FLUDROCORTISONA, ACETATO DE ;ASPEN PHARMA;3004.39.99;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;ES;;7,89586E+12;3;0,0323;216,29;216,29;216,29;216,29;213,68;213,68;214,98;216,29;213,68;213,68;216,29;221,7;177,35;213,68;214,98;216,29;221,7;235,0038;283,14;284,8530909;286,59;293,75;Terapia insuficiência adrenocortical (Doença de Addison) e tratamento da síndrome adrenogenital de perda de sal
329;11/04/2019;TABELA;TABELA;FLUDALIBBS  50 MG  C/ 5 FR. AMP. PO LIOF.;FLUDARABINA, FOSFATO DE ;LIBBS;3004.90.78;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89609E+12;1;0,0521;1776,01;1776,01;1776,01;1776,01;1776,01;1776,01;1776,01;1776,01;1776,01;1776,01;1776,01;1776,01;3572,91;4304,71;4330,8;4357,21;4466,14;0;0;0;0;0;Leucemia linfocítica crônica de células B
3874;01/10/2019;0,02;0,05;FLUIMUCIL SOL INJ 100 MG/ML C/ 5 AMP X 3ML;ACETILCISTEINA ;ZAMBON;3004.90.99;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89807E+12;2;0,0422;5,86071887;5,84;5,9943101;0;5,914385965;5,914385965;5,95407983;5,9943101;5,8;5,800632756;5,869004194;6,010699128;16,2442;19,54;19,67;19,81;20,38;21,6398;26,05;26,23006061;26,39;27,13;Trata dificuldade para expectorar e há muita secreção densa e viscosa, bronquite, pneumonia e enfisema pulmonar
306273;07/10/2019;0,02;0,05;FOLINATO DE CALCIO 10MG/ML SOL INJ 30ML;CALCIO, FOLINATO DE ;EUROFARMA;3004.50.10;POSITIVA;GENÉRICO;REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89132E+12;3;0,0323;652,72;652,72;652,72;652,72;652,72;687;652,72;652,72;652,72;652,72;652,72;652,72;2033,0588;2449,47;2464,31;2479,34;2541,32;0;0;0;0;0;Reduzir a toxicidade,  anemia megaloblástica e carcinoma colorretal avançado
46;07/10/2019;0,02;0,05;FOLINATO DE CALCIO 50 MG C/ 50 AMP;CALCIO, FOLINATO DE ;EUROFARMA;3004.50.10;POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89132E+12;3;0,0323;341,16;341,16;341,16;341,16;341,16;359,11;341,16;341,16;341,16;341,16;341,16;341,16;2891,156;3483,32;3504,43;3525,8;3613,95;0;0;0;0;0;Reduzir a toxicidade,  anemia megaloblástica e carcinoma colorretal avançado
1465;01/10/2019;0,03;0,05;FORTEO COLTER PEN 250MCG/ML CX. C/ CAN. INJE.+CART.C/ 2,4ML;TERIPARATIDA ;ELI LILLY;3004.39.29;POSITIVA;SIMILAR;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89638E+12;3;0,0323;2417,959752;0;2403,083954;0;2374,131135;2374,131135;2388,519809;2403,083954;2509,024885;2386,228968;2411,931563;2465,034416;2150,409;2590,85;2606,56;2622,45;2688,01;2972,8034;3581,68;3603,398061;3625,37;3716;Tratamento da osteoporose com alto risco para fraturas tanto em mulheres na pós-menopausa como em homens
1346;01/10/2019;0,02;0,05;FOSTIMON-M 150UI FA + DIL X 1ML;UROFOLITROPINA ;UCB;3004.39.29;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SC;;7,8952E+12;3;0,0323;168,139923;0;170,7874822;0;168,5103158;168,5103158;169,6412575;170,7874822;166,1109245;167,3074754;169,2795107;173,3664134;249,5342;300,64;302,47;304,31;311,92;344,9658;415,62;418,1403636;420,69;431,21;Desenvolvimento de vários folículos em mulheres que participam de programa médico de reprodução assistida
1345;01/10/2019;0,02;0,05;FOSTIMON-M 75UI FA + DIL X 1ML;UROFOLITROPINA ;UCB;3004.39.29;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SC;;7,8952E+12;3;0,0323;86,03530167;0;87,39246088;0;86,22722807;86,22722807;86,8059343;87,39246088;84,99950793;85,61178692;86,62088389;88,71216549;116,5384;140,41;141,26;142,12;145,67;161,1054;194,11;195,2792727;196,47;201,38;Desenvolvimento de vários folículos em mulheres que participam de programa médico de reprodução assistida
4461;01/10/2019;0,04;0,05;FRANOL C/20 COMP;EFEDRINA+TEOFILINA, SULFATO DE ;SANOFI/GENZYME;3004.90.99;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;PODEMOS VENDER BRASIL - NÃO PRECISA PEDIR AUTORIZAÇÃO PARA COTAR;7,89106E+12;INFO PENDENTE;INFO PENDENTE;5,017286767;0;4,989987163;0;4,929866836;4,929866836;4,959744817;4,989987163;5,21;4,955018621;5,008390213;5,118658602;4,3214;5,21;5,24;5,27;5,4;5,9778;7,2;7,245818182;7,29;7,47;Tanto para evitar quanto para tratar, como broncodilatador, asma brônquica, bronquite e enfisema
1268;01/10/2019;0,02;0,07;FRONTAL 1MG C/30 COMP B1;ALPRAZOLAM ;PFIZER/WYETH;3004.90.64;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;SP;;7,89127E+12;1;0,0521;60,32550167;0;59,95620247;0;59,23383858;59,23383858;59,59283154;59,95620247;62,59939759;59,53567729;60,17694913;61,50184893;52,521;63,28;63,66;64,05;65,65;72,6028;87,48;88,00339394;88,54;90,76;Tratamento de transtornos de ansiedade
105249;01/10/2019;0,02;0,07;FRONTAL SL 0,5MG C/30 COMP B1;ALPRAZOLAM ;PFIZER/WYETH;3004.90.64;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89127E+12;1;0,0521;37,10765801;0;34,51;0;34,09;34,09;34,30084848;34,51;33,72324913;33,96616862;34,36652421;35,19623267;28,3;34,09;34,3;34,51;35,37;39,1222;47,13;47,42084848;47,71;48,9;Tratamento de transtornos de ansiedade
306178;27/09/2019;0,04;TABELA;FULVESTRANTO 250MG/ 5ML X 2 SER;FULVESTRANTO ;SANDOZ;3004.39.36;POSITIVA;GENÉRICO;REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,8976E+12;3;0,0323;1440;1440;1440;1440;1440;1440;1440;1440;1440;1440;1440;1440;3827,47;4611,41;4639,36;4667,65;4784,34;0;0;0;0;0;Câncer de mama, mulheres que estejam na pós-menopausa
306210;19/08/2019;VERIFICAR COM LABORATÓRIO ;VERIFICAR COM LABORATÓRIO ;FULVESTRANTO 250MG/5ML SP+2AGDRR;FULVESTRANTO ;DR. REDDY'S;3004.39.36;POSITIVA;GENÉRICO;REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;SP;PRECISAMOS VERIFICAR COM MOURA SE PODEMOS VENDER E QUAL DESCONTO UTILIZAR - MOURA  11.94556.5840 - VALOR MERCO SUL - 1.800,00;8,90115E+12;3;0,0323;0;0;0;0;0;0;0;0;0;0;0;0;3804,28;4583,46;4611,24;4639,36;4755,34;0;0;0;0;0;Câncer de mama, mulheres que estejam na pós-menopausa
5004;01/10/2019;0,02;0,04;GAZYVA 1000 MG SOL DIL INFUS IV CT FA VD TRANS X 40 ML;OBINUTUZUMABE ;ROCHE;3002.10.39;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;GO;;7,89623E+12;3;0,0323;20521,01;20521,01;20483,92;0;20237,12;20237,12;20359,77;20483,92;20069,31;20069,31;20285,48;20732,1;16956,67;20392,01;20534,43;20678,87;21277,56;0;0;0;0;0;Leucemia Linfocítica Crônica, Linfoma Folicular
553;01/10/2019;0,03;0,05;GEMZAR 1GR FR.AMP.;GENCITABINA, CLORIDRATO DE ;ELI LILLY;3004.90.78;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89638E+12;1;0,0521;250,25;250,25;250,25;250,25;250,25;263,42;250,25;250,25;250,25;250,25;250,25;250,25;792,47;954,79;960,57;966,43;990,59;0;0;0;0;0;Câncer bexiga, pâncreas, pulmão e mama
554;01/10/2019;0,03;0,05;GEMZAR 200 MG  FR.AMP.;GENCITABINA, CLORIDRATO DE ;ELI LILLY;3004.90.78;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89638E+12;1;0,0521;50,29;50,29;50,29;50,29;50,29;52,93;50,29;50,29;50,29;50,29;50,29;50,29;159,2358;191,85;193,01;194,19;199,04;0;0;0;0;0;Câncer bexiga, pâncreas, pulmão e mama
4401;01/10/2019;0,02;0,06;GENCIX 1G INJ 1AMP 50ML;GENCITABINA, CLORIDRATO DE ;AMGEM/BERGAMO;3004.90.78;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89815E+12;1;0,0521;88,77;88,77;88,77;88,77;88,77;93,44;88,77;88,77;88,77;88,77;88,77;88,77;713,8;860;865,21;870,49;892,25;986,79;986,79;986,79;986,79;986,79;Câncer bexiga, pâncreas, pulmão e mama
507;11/04/2019;TABELA;TABELA;GENLIBBS 1 G CX C/ 1 FR. AMP.;GENCITABINA, CLORIDRATO DE ;LIBBS;3004.90.78;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89609E+12;1;0,0521;222,84;222,84;222,84;222,84;222,84;222,84;222,84;222,84;222,84;222,84;222,84;222,84;792,47;954,79;960,57;966,43;990,59;0;0;0;0;0;Câncer bexiga, pâncreas, pulmão e mama
506;11/04/2019;TABELA;TABELA;GENLIBBS 200 MG CX C/ 1 FR. AMP.;GENCITABINA, CLORIDRATO DE ;LIBBS;3004.90.78;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7,89609E+12;1;0,0521;61;61;61;61;61;61;61;61;61;61;61;61;159,21;191,82;192,98;194,16;199,01;0;0;0;0;0;Câncer bexiga, pâncreas, pulmão e mama
1073;01/10/2019;0,02;0,12;GENOTROPIN 12 36UI CAN. PR. C/ 1FA + DIL.1ML GO QUICK (C5);SOMATROPINA ;PFIZER/WYETH;3003.39.11;POSITIVA;OUTROS;REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;SE É A PRIMEIRA COMPRA, PRECISA DA  AGULHA, VER COM O SAR;7,89127E+12;3;0,0323;581,4611973;0;590,6226966;0;582,7477273;582,7477273;586,6587858;590,6226966;574,4501205;578,5880708;585,4078265;599,5412844;1075,8482;1296,2;1304,06;1312,01;1344,81;1487,2996;1791,92;1802,787394;1813,78;1859,12;Tratamento de longo prazo de crianças com distúrbios de crescimento
293;01/10/2019;0,02;0,12;GENOTROPIN 12 MG  36 UI  FR. AMP. (C5);SOMATROPINA ;PFIZER/WYETH;3003.39.11;POSITIVA;SIMILAR;REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;SE É A PRIMEIRA COMPRA, PRECISA DA  AGULHA, VER COM O SAR;7,89127E+12;3;0,0323;820,0094235;0;832,9293612;0;821,8236364;821,8236364;827,3392312;832,9293612;810,1218401;815,9574102;825,5750129;845,5068094;0;0;0;0;0;1487,2996;1791,92;1802,787394;1813,78;1859,12;Tratamento de longo prazo de crianças com distúrbios de crescimento
588;01/10/2019;0,02;0,12;GENOTROPIN 5,33 16 UI  FR. AMP. (C5);SOMATROPINA ;PFIZER/WYETH;3003.39.11;POSITIVA;SIMILAR;REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;SE É A PRIMEIRA COMPRA, PRECISA DA  AGULHA, VER COM O SAR;7,89127E+12;3;0,0323;374,4452605;0;380,344441;0;375,2731818;375,2731818;377,7917938;380,344441;369,92977;372,594494;376,9862254;386,087776;491,2702;591,89;595,47;599,11;614,08;679,1486;818,25;823,2104242;828,23;848,93;Tratamento de longo prazo de crianças com distúrbios de crescimento
1071;01/10/2019;0,02;0,12;GENOTROPIN 5,33 16UI CAN. PR. C/ 1FA + DIL.1ML GO QUICK (C5);SOMATROPINA ;PFIZER/WYETH;3003.39.11;POSITIVA;OUTROS;REFRIGERADO;CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;SE É A PRIMEIRA COMPRA, PRECISA DA  AGULHA, VER COM O SAR;7,89127E+12;3;0,0323;265,5156596;0;269,6988636;0;266,1028788;266,1028788;267,8888041;269,6988636;262,3138226;264,203354;267,3174907;273,7713171;491,2702;591,89;595,47;599,11;614,08;679,1486;818,25;823,2104242;828,23;848,93;Tratamento de longo prazo de crianças com distúrbios de crescimento
1138;01/10/2019;0,02;FÁBRICA;GILENYA 0,5 MG CX C/ 28 CAPS;FINGOLIMODE, CLORIDRATO DE ;NOVARTIS;3004.90.39;NEGATIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;Podemos atender toda linha de Hospitalar, Centro Oeste, Sudeste e Norte;7,89626E+12;2;0,0422;7129,19;0;7129,19;0;7030,29;7030,29;7085,982788;7129,19;7030,29;7030,29;7129,19;7129,19;5845,9358;7030,29;7079,39;7129,19;7129,19;7788,5896;9370,85;9440,714667;9498,28;9498,28;Tratar esclerose múltipla remitente recorrente, diminuir o acúmulo de problemas médicos
4547;01/10/2019;0,05;FÁBRICA;GIOTRIF 30 MG C/ 28 COMP REV;AFATINIBE, DIMALEATO DE ;BOEHRINGER;3004.90.79;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89603E+12;3;0,0323;3528,35;3528,35;3528,35;0;3479,4;3479,4;3503,7;3528,35;3479,4;3479,4;3528,35;3630,5;2893,24;3479,4;3503,7;3528,35;3630,5;3854,697;4637,78;4672,36;4700,85;4832,32;Câncer de pulmão chamado de não pequenas células
4548;01/10/2019;0,05;FÁBRICA;GIOTRIF 40 MG C/ 28 COMP REV;AFATINIBE, DIMALEATO DE ;BOEHRINGER;3004.90.79;NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;;7,89603E+12;3;0,0323;4704,47;4704,47;4704,47;0;4639,21;4639,21;4671,61;4704,47;4639,21;4639,21;4704,47;4840,67;3857,66;4639,21;4671,61;4704,47;4840,67;5139,596;6183,72;6229,813333;6267,8;6443,09;Câncer de pulmão chamado de não pequenas células
3118;01/10/2019;0,03;0,05;GLIMATIN 100MG CX. C/  60 COM.;IMATINIBE, MESILATO DE ;E.M.S.;3004.90.99;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7,896E+12;2;0,0422;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;1190,465613;6053,94;0;0;0;0;8021,86;8021,86;8021,86;8021,86;8021,86;Pediátricos com Leucemia Mieloide Crônica e Pacientes adultos com Leucemia Linfoblástica Aguda
3119;01/10/2019;0,03;0,05;GLIMATIN 400MG CX. C/ 30 COM.;IMATINIBE, MESILATO DE ;E.M.S.;3004.90.99;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;;7,896E+12;2;0,0422;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;2381,232793;11724,41;0;0;0;0;15535,61;15535,61;15535,61;15535,61;15535,61;Pediátricos com Leucemia Mieloide Crônica e Pacientes adultos com Leucemia Linfoblástica Aguda
2072;01/10/2019;0,02;0,06;GLIVEC 100MG C/60 CPS;IMATINIBE, MESILATO DE ;NOVARTIS;3004.90.68;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;ORIENTAÇÃO GERENTE IOLE, NÃO VENDER PARA FARMÁCIAS/ DELIVERY E DISTRIBUIDORAS;7,89626E+12;2;0,0422;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;5640,907447;6238,18;0;0;0;0;8623,92;8623,92;8623,92;8623,92;8623,92;Leucemia Mieloide Crônica
5005;01/10/2019;0,02;0,06;GLIVEC 400MG CX C/ 30 COM REV.;IMATINIBE, MESILATO DE ;NOVARTIS;3004.90.68;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;ORIENTAÇÃO GERENTE IOLE, NÃO VENDER PARA FARMÁCIAS/ DELIVERY E DISTRIBUIDORAS;7,89626E+12;2;0,0422;11281,83;11281,83;11281,83;11281,83;11281,83;11281,83;11281,83;11281,83;11281,83;11281,83;11281,83;11281,83;12476,38;0;0;0;0;17247,86;17247,86;17247,86;17247,86;17247,86;Leucemia Mieloide Crônica
318;01/10/2019;0,02;0,05;GLYPRESSIN  1 MG  FR. AMP. + DIL. DE 5 ML;TERLIPRESSINA, ACETATO DE ;FERRING;3004.39.16;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;NÃO PODEMOS ATENDER NORTE, MARANHÃO E PIAUI;7,89617E+12;3;0,0323;267,2154044;267,21;271,44;0;267,82;267,82;269,62;271,44;265,91;265,91;269,04;275,54;236,5454;284,99;286,72;288,47;295,68;327,016;394;396,3830303;398,8;408,76;Diminuição da pressão sanguínea portal em pacientes que apresentam hipertensão portal
489;01/10/2019;0,03;FÁBRICA;GONAL F 75 UI CX C/ 1 AMP. + DIL. 1 ML + SERINGA;ALFAFOLITROPINA ;MERCK S/A;3004.39.99;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;RJ;NÃO PODEMOS VENDER PARA FARMACIA - PARA CLINICAS DE ONCOLOGIA (QUESTIONAR O USO);7,89172E+12;3;0,0323;175,12;0;175,12;0;173,01;173,01;174,0586667;175,12;173,01;173,01;175,12;179,5;143,5984;173,01;174,06;175,12;179,5;198,5138;239,18;240,6227879;242,09;248,15;Estimular a ovulação em mulheres que não estão ovulando
1432;01/10/2019;0,03;FÁBRICA;GONAL FF PEN 300UI (22MCG) SOL. INJ. CAN. APLIC. X 0,5ML;ALFAFOLITROPINA ;MERCK S/A;3004.39.99;POSITIVA;SIMILAR;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;RJ;NÃO PODEMOS VENDER PARA FARMACIA - PARA CLINICAS DE ONCOLOGIA (QUESTIONAR O USO);7,89172E+12;3;0,0323;700,48;0;700,48;0;692,04;692,04;696,2346667;700,48;692,04;692,04;700,48;717,99;574,3936;692,04;696,23;700,48;717,99;794,0634;956,7;962,5010909;968,37;992,58;Estimular a ovulação em mulheres que não estão ovulando
1433;01/10/2019;0,03;FÁBRICA;GONAL FF PEN 450UI (33MCG) SOL. INJ. CAN. APLIC. X 0,75ML;ALFAFOLITROPINA ;MERCK S/A;3004.39.99;POSITIVA;SIMILAR;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;RJ;NÃO PODEMOS VENDER PARA FARMACIA - PARA CLINICAS DE ONCOLOGIA (QUESTIONAR O USO);7,89172E+12;3;0,0323;1050,75;0;1050,75;0;1038,09;1038,09;1044,381818;1050,75;1038,09;1038,09;1050,75;1077,02;861,615;1038,09;1044,38;1050,75;1077,02;1191,132;1435,1;1443,796364;1452,6;1488,92;Estimular a ovulação em mulheres que não estão ovulando
