00412;24/06/2018;4%;7,00%;EPREX 10000 UI C/ 1,0 ML C/ 6 SE;ALFAEPOETINA;JANSSEN;3002.15.90;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;PODEMOS ATENDER INTERIOR DE SP, NORTE E NORDESTE;7896212423859;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.430,86 ; R$ -   ; R$ 1.437,71 ; R$ 1.444,62 ; R$ 1.472,95 ; R$ 1.448,10 ; R$ 1.362,71 ; R$ 1.368,48 ; R$ 1.374,90 ; R$ 1.389,09 ; R$ 1.719,63 ; R$ 2.071,84 ; R$ 2.084,40 ; R$ 2.097,11 ; R$ 2.149,54 ; R$ 2.377,29 ; R$ 2.864,20 ; R$ 2.881,56 ; R$ 2.899,13 ; R$ 2.971,61 ;;;
00408;23/06/2018;4%;7,00%;EPREX 1000UI 0,5 ML C/6 SE;ALFAEPOETINA;JANSSEN;3002.15.90;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;PODEMOS ATENDER INTERIOR DE SP, NORTE E NORDESTE;7896212423811;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 189,55 ; R$ 228,37 ; R$ 229,76 ; R$ 231,16 ; R$ 236,94 ; R$ 262,04 ; R$ 315,71 ; R$ 317,63 ; R$ 319,57 ; R$ 327,56 ;;;
00409;25/06/2018;4%;7,00%;EPREX 2.000 UI C/ 0,5ML  C/6 SE;ALFAEPOETINA;JANSSEN;3002.15.90;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;PODEMOS ATENDER INTERIOR DE SP, NORTE E NORDESTE;7896212423828;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 311,06 ; R$ 374,77 ; R$ 377,04 ; R$ 379,34 ; R$ 388,82 ; R$ 430,02 ; R$ 518,10 ; R$ 521,24 ; R$ 524,42 ; R$ 537,52 ;;;
00413;03/07/2018;4%;7,00%;EPREX 40.000 UI C/ 1,0 ML C/1 SE;ALFAEPOETINA;JANSSEN;3002.15.90;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;PODEMOS ATENDER INTERIOR DE SP, NORTE E NORDESTE;7896212423866;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 872,45 ; R$ -   ; R$ 877,74 ; R$ 880,84 ; R$ 898,11 ; R$ 882,96 ; R$ 830,90 ; R$ 835,94 ; R$ 837,96 ; R$ 852,47 ; R$ 1.048,53 ; R$ 1.263,28 ; R$ 1.270,94 ; R$ 1.278,69 ; R$ 1.310,66 ; R$ 1.449,53 ; R$ 1.746,41 ; R$ 1.757,00 ; R$ 1.767,71 ; R$ 1.811,91 ;;;
00411;03/07/2018;4%;7,00%;EPREX 4000 UI C/ 0,4 ML C/6 SER;ALFAEPOETINA;JANSSEN;3002.15.90;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;NÃO;NACIONAL;SP;PODEMOS ATENDER INTERIOR DE SP, NORTE E NORDESTE;7896212423842;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 505,46 ; R$ -   ; R$ 508,52 ; R$ 510,32 ; R$ 520,33 ; R$ 511,55 ; R$ 481,39 ; R$ 484,31 ; R$ 485,48 ; R$ 493,88 ; R$ 607,47 ; R$ 731,89 ; R$ 736,33 ; R$ 740,82 ; R$ 759,34 ; R$ 839,79 ; R$ 1.011,79 ; R$ 1.017,93 ; R$ 1.024,14 ; R$ 1.049,74 ;;;
00271;30/05/2018;4%;7,00%;ERANZ 10 MG CX C/ 28  CPS. (C1);DONEPEZILA, CLORIDRATO DE;PFIZER;3004.90.69;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;NÃO;IMPORTADO;SP;;7891045006231;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 447,47 ; R$ -   ; R$ 450,18 ; R$ 452,13 ; R$ 461,75 ; R$ 456,39 ; R$ 446,41 ; R$ 449,12 ; R$ 450,49 ; R$ 458,87 ; R$ 340,89 ; R$ 410,71 ; R$ 413,20 ; R$ 415,72 ; R$ 426,11 ; R$ 523,67 ; R$ 630,92 ; R$ 634,75 ; R$ 638,62 ; R$ 654,59 ;INIBIDOR ACETILCOLINESTERASE - Tratamento Alzheimer.;;
00249;30/05/2018;4%;7,00%;ERANZ 5 MG CX C/ 28  CPS. (C1);DONEPEZILA, CLORIDRATO DE;PFIZER;3004.90.69;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;NÃO;IMPORTADO;SP;;7891045006217;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 402,69 ; R$ -   ; R$ 405,13 ; R$ 406,89 ; R$ 415,54 ; R$ 410,71 ; R$ 401,74 ; R$ 404,17 ; R$ 405,41 ; R$ 412,95 ; R$ 378,80 ; R$ 456,38 ; R$ 459,15 ; R$ 461,95 ; R$ 473,50 ; R$ 471,26 ; R$ 567,78 ; R$ 571,22 ; R$ 574,71 ; R$ 589,07 ;INIBIDOR ACETILCOLINESTERASE - Tratamento Alzheimer.;;
00681;02/05/2018;3%;4,00%;ERBITUX 100 MG/20 ML - CX C/ 1 FR. AMP.;CETUXIMABE;MERCK S/A;3004.39.29;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;;** NÃO VENDER PARA FARMÁCIAS ;7891721021220;3;2,09%; R$ 659,58 ; R$ 659,58 ; R$ 720,00 ; R$ 659,58 ; R$ 659,58 ; R$ 747,83 ; R$ 659,58 ; R$ 659,58 ; R$ 659,58 ; R$ 659,58 ; R$ 659,58 ; R$ 659,58 ; R$ 659,58 ; R$ 659,58 ; R$ 736,28 ; R$ 887,08 ; R$ 892,46 ; R$ 897,90 ; R$ 920,35 ; R$ 1.017,86 ; R$ 1.226,34 ; R$ 1.233,77 ; R$ 1.241,29 ; R$ 1.272,33 ;ANTINEOPLÁSICO - Câncer colorretal em metástase cabeça, pescoço,  carcinoma de células de pulmão;;
00815;02/05/2018;3%;4,00%;ERBITUX 500 MG/100 ML - CX C/ 1 FR. AMP.;CETUXIMABE;MERCK S/A;3004.39.29;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;SIM;IMPORTADO;;** NÃO VENDER PARA FARMÁCIAS ;7891721021213;3;2,09%; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.600,25 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.739,04 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.297,83 ; R$ 3.681,30 ; R$ 4.435,30 ; R$ 4.462,18 ; R$ 4.489,39 ; R$ 4.601,62 ; R$ 5.089,18 ; R$ 6.131,54 ; R$ 6.168,70 ; R$ 6.206,32 ; R$ 6.361,47 ;ANTINEOPLÁSICO - Câncer colorretal em metástase cabeça, pescoço,  carcinoma de células de pulmão;;
04577;27/06/2018;5%;8%;ERITROMAX 40.000UI C 1 SER+DISP;ALFAEPOETINA;BLAUSIEGEL;3002.10.39;POSITIVA;;;NÃO;REGIME NORMAL;NÃO;NACIONAL;;;7896014662555;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 949,78 ; R$ -   ; R$ 955,54 ; R$ 958,91 ; R$ 977,71 ; R$ 646,63 ; R$ 608,50 ; R$ 612,10 ; R$ 613,67 ; R$ 624,29 ; R$ 1.048,53 ; R$ 1.263,28 ; R$ 1.270,94 ; R$ 1.278,69 ; R$ 1.310,66 ; R$ 1.746,41 ; R$ 1.757,00 ; R$ 1.757,00 ; R$ 1.767,71 ; R$ 1.811,91 ;;;
04567;06/06/2018;4%;Fábrica;ERIVEDGE 150 MG C/28 CAPS DURAS;VISMODEGIBE;ROCHE;3004.90.69;NEGATIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;;VALIDADE MAIO/2018 - PODE NEGOCIAR;7896226506838;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 21.375,04 ; R$ -   ; R$ 21.524,32 ; R$ 21.675,73 ; R$ 22.303,28 ; R$ 21.375,04 ; R$ 21.375,04 ; R$ 21.524,32 ; R$ 21.675,73 ; R$ 22.303,28 ; R$ 17.741,28 ; R$ 21.375,04 ; R$ 21.375,04 ; R$ 21.675,73 ; R$ 22.303,28 ; R$ 23.204,03 ; R$ 28.491,32 ; R$ 28.683,73 ; R$ 28.878,76 ; R$ 29.686,42 ;Está indicado para o tratamento de pacientes adultos com um tipo de câncer de pele denominado carcinoma basocelular avançado;;
04558;06/06/2018;4%;Fábrica;ESBRIET 267 MG C/270 CAPS;PIRFENIDONA;ROCHE;3004.90.69;NEGATIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;;;7896226507002;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 9.539,44 ; R$ -   ; R$ 9.527,24 ; R$ 9.655,77 ; R$ 9.897,16 ; R$ 9.539,44 ; R$ 9.539,44 ; R$ 9.597,24 ; R$ 9.655,77 ; R$ 9.897,16 ; R$ 7.917,74 ; R$ 9.539,44 ; R$ 9.539,44 ; R$ 9.655,77 ; R$ 9.897,16 ; R$ 10.945,80 ; R$ 13.187,72 ; R$ 13.267,64 ; R$ 13.348,54 ; R$ 13.682,24 ;É utilizado para tratamento da fibrose pulmonar idiopática – FPI;;
01277;18/06/2018;4%;8,00%;ESMERON 10MG/ML CX C/ 10FA X 5ML;ROCURÔNIO, BROMETO DE;MSD - SCHERING;3004.90.69;POSITIVA;;;SIM;REGIME NORMAL;NÃO;NACIONAL;;;7897572001275;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 82,58 ; R$ -   ; R$ 83,08 ; R$ 83,38 ; R$ 85,01 ; R$ 83,58 ; R$ 83,16 ; R$ 83,66 ; R$ 83,87 ; R$ 85,32 ; R$ 850,91 ; R$ 1.025,20 ; R$ 1.031,41 ; R$ 1.037,70 ; R$ 1.063,64 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;É indicado para ser usado juntamente com a anestesia geral para facilitar a intubação traqueal em procedimentos de rotina e indução de sequência rápida de anestesia;;
01409;22/04/2018;NEGOCIAÇÃO;NEGOCIAÇÃO;EUFLEXXA 10MG/ML SOL. INJ. C/ 3 SER. PREENCHIDAS X 2ML;SÓDIO, HIALURONATO DE;DAICHII SANKYO;3004.90.99;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;;VERIFICAR E-MAIL COM OS VALORES ESCALONADOS - 02/04 as 17:10;7896165600512;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 507,00 ; R$ -   ; R$ 507,00 ; R$ 507,00 ; R$ 507,00 ; R$ 507,00 ; R$ 507,00 ; R$ 507,00 ; R$ 507,00 ; R$ 507,00 ; R$ -   ; R$ 713,00 ; R$ 717,32 ; R$ 721,69 ; R$ 739,73 ; R$ 818,11 ; R$ 985,68 ; R$ 991,65 ; R$ 997,69 ; R$ 1.022,63 ;É destinado para o tratamento da dor causada por osteoartrite (doença degenerativa da articulação) do joelho.;;
00013;31/07/2018;Fábrica;Fábrica;EUNADES CS 100 MG C/10 FRS 5ML;ETOPOSIDO;PFIZER;3004.90.58;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;;7891268102536;3;2,09%; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 355,85 ; R$ 428,73 ; R$ 431,33 ; R$ 433,96 ; R$ 444,81 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO- Tumores testiculares refratários, Tumores anaplásicos de pequenas células do pulmão, Doença de Hodgkin ;;
00791;11/06/2018;4%;7,00%;EXELON 1,5 MG CX C/ 28 CAPS. (C1);RIVASTIGMINA;NOVARTIS;3004.90.69;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;;;7896261007758;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 150,60 ; R$ -   ; R$ 151,27 ; R$ 151,93 ; R$ 155,16 ; R$ 153,36 ; R$ 150,01 ; R$ 150,92 ; R$ 151,38 ; R$ 154,19 ; R$ 134,52 ; R$ 162,07 ; R$ 163,06 ; R$ 164,05 ; R$ 168,15 ; R$ 185,97 ; R$ 224,05 ; R$ 225,42 ; R$ 226,79 ; R$ 232,46 ;É usado no tratamento de problemas de memória e demência em pacientes com doença de Alzheimer ou doença de Parkinson.;;
01067;11/06/2018;4%;7,00%;EXELON PATCH 9 MG/ 5 CM² CX C/ 30 ADESIVOS (C1);RIVASTIGMINA;NOVARTIS;3004.90.69;POSITIVA;NÃO REFRIGERADO;CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;;;7896261013735;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 388,05 ; R$ -   ; R$ 390,40 ; R$ 392,09 ; R$ 400,44 ; R$ 395,79 ; R$ 387,14 ; R$ 389,49 ; R$ 390,67 ; R$ 397,94 ; R$ 328,50 ; R$ 395,78 ; R$ 398,18 ; R$ 400,61 ; R$ 410,63 ; R$ 454,13 ; R$ 547,14 ; R$ 550,46 ; R$ 553,82 ; R$ 567,67 ;É usado no tratamento de problemas de memória e demência em pacientes com doença de Alzheimer ou doença de Parkinson.;;
04553;30/05/2018;Fábrica;Fábrica;EXEMESTANO 25MG C/30 DRG WYE;EXEMESTANO;PFIZER;3004.39.94;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;;IMPORTADO;SP;VENDER A FABRICA;7891045028882;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 488,17 ; R$ -   ; R$ 491,13 ; R$ 494,12 ; R$ 506,47 ; R$ 488,17 ; R$ 488,17 ; R$ 491,13 ; R$ 494,12 ; R$ 506,47 ; R$ -   ; R$ 488,17 ; R$ 491,13 ; R$ 494,12 ; R$ 506,47 ; R$ 560,14 ; R$ 674,87 ; R$ 678,96 ; R$ 683,09 ; R$ 700,17 ;;;
00009;11/06/2018;4%;6,00%;EXJADE 125 MG C/ 28 CPS DISPERSIVEIS;DEFERASIROX;NOVARTIS;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;;;7896261011502;3;2,09%; R$ 657,87 ; R$ 657,87 ; R$ 657,87 ; R$ 657,87 ; R$ -   ; R$ 657,87 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 657,87 ; R$ 792,61 ; R$ 797,42 ; R$ 802,28 ; R$ 822,34 ; R$ 909,47 ; R$ 1.095,74 ; R$ 1.102,39 ; R$ 1.109,11 ; R$ 1.136,84 ;AGENTE QUELANTE DE FERRO -tratamento da sobrecarga crónica de ferro ;;
00010;11/06/2018;4%;6,00%;EXJADE 250 MG C/ 28 CPS DISPERSIVEIS;DEFERASIROX;NOVARTIS;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;;;7896261011526;3;2,09%; R$ 1.315,75 ; R$ 1.315,75 ; R$ 1.315,75 ; R$ 1.315,75 ; R$ -   ; R$ 1.315,75 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 1.315,75 ; R$ 1.585,24 ; R$ 1.594,84 ; R$ 1.604,57 ; R$ 1.644,68 ; R$ 1.818,95 ; R$ 2.191,50 ; R$ 2.204,77 ; R$ 2.218,22 ; R$ 2.273,67 ;AGENTE QUELANTE DE FERRO tratamento da sobrecarga crónica de ferro ;;
00011;11/06/2018;4%;6,00%;EXJADE 500 MG C/ 28 CPS DISPERSIVEIS;DEFERASIROX;NOVARTIS;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;;;7896261011540;3;2,09%; R$ 2.631,53 ; R$ 2.631,53 ; R$ 2.631,53 ; R$ 2.631,53 ; R$ -   ; R$ 2.631,53 ; R$ -   ; R$ -   ;; R$ -   ; R$ -   ;; R$ -   ; R$ -   ; R$ 2.631,53 ; R$ 3.170,52 ; R$ 3.189,73 ; R$ 3.209,18 ; R$ 3.289,41 ; R$ 3.637,94 ; R$ 4.383,06 ; R$ 4.409,61 ; R$ 4.436,50 ; R$ 4.547,42 ;AGENTE QUELANTE DE FERRO tratamento da sobrecarga crónica de ferro ;;
01305;22/04/2018;4%;7,00%;EYLIA 40MG/ML 1FA X 0,278ML + AGU FILTRO 01;AFLIBERCEPTE;BAYER;3002.10.39;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;SP;;7891106907439;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 3.347,26 ; R$ -   ; R$ 3.363,28 ; R$ 3.379,45 ; R$ 3.445,71 ; R$ 3.387,59 ; R$ 3.195,24 ; R$ 3.208,80 ; R$ 3.222,48 ; R$ 3.278,39 ; R$ -   ; R$ 3.706,31 ; R$ 3.728,77 ; R$ 3.751,51 ; R$ 3.845,30 ; R$ 4.252,72 ; R$ 5.123,76 ; R$ 5.154,81 ; R$ 5.186,24 ; R$ 5.315,90 ;AFECÇÕES OCULARES - degenerescência macular relacionada com a idade (DMI), Perda da visão, entre outras ;;
01878;25/06/2018;4%;Fábrica;FAMPYRA 10 MG C/ 28 COM REVEST;FAMPRIDINA;BIOGEN;3004.90.69;NEGATIVA;;;NÃO;REGIME NORMAL;SIM;IMPORTADO;;Area atuação Mercado Privado BIOGEN - AM, CE, DF, ES, GO, MG, PR, RJ, SP;7898926573103;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 551,51 ; R$ -   ; R$ 555,36 ; R$ 559,27 ; R$ 575,46 ; R$ 551,51 ; R$ 551,51 ; R$ 555,36 ; R$ 559,27 ; R$ 575,46 ; R$ 446,31 ; R$ 551,51 ; R$ 555,36 ; R$ 559,27 ; R$ 575,46 ; R$ 735,12 ; R$ 740,08 ; R$ 667,73 ; R$ 745,12 ; R$ 765,96 ;BLOQUEADOR DO CANAL DE POTÁSSIO - Indicado para a melhoria da marcha em doentes adultos com esclerose múltipla.;;
01879;25/06/2018;4%;Fábrica;FAMPYRA 10 MG C/ 56 COM REVEST;FAMPRIDINA;BIOGEN;3004.90.69;NEGATIVA;;;NÃO;REGIME NORMAL;SIM;IMPORTADO;;Area atuação Mercado Privado BIOGEN - AM, CE, DF, ES, GO, MG, PR, RJ, SP;7898926573042;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.103,27 ; R$ -   ; R$ 1.110,98 ; R$ 1.118,79 ; R$ 1.151,18 ; R$ 1.103,27 ; R$ 1.103,27 ; R$ 1.110,98 ; R$ 1.118,79 ; R$ 1.151,18 ; R$ 892,81 ; R$ 1.103,27 ; R$ 1.110,98 ; R$ 1.118,79 ; R$ 1.151,18 ; R$ 1.470,58 ; R$ 1.480,51 ; R$ 1.335,77 ; R$ 1.490,57 ; R$ 1.532,26 ;BLOQUEADOR DO CANAL DE POTÁSSIO - Indicado para a melhoria da marcha em doentes adultos com esclerose múltipla.;;
01603;31/07/2018;Fábrica;Fábrica;FARMORUBICINA CS 10MG FR.AMP.5ML;CLOR.EPIRRUBICINA;PFIZER;3004.20.69;POSITIVA;REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;NÃO;NACIONAL;SP;;7891268102819;3;2,09%; R$ 77,41 ; R$ -   ; R$ -   ; R$ -   ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 77,41 ; R$ 93,27 ; R$ 93,84 ; R$ 94,41 ; R$ 96,77 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO CITOTÓXICO - Utilizado no tratamento de vários tipos de câncer (neoplasia): câncer de mama, linfomas, sarcomas de partes moles (câncer dos músculos, cartilagens, gordura, nervos e vasos sanguíneos) câncer gástrico (do estômago), entre outros.;;
00678;30/05/2018;4%;7,00%;FARMORUBICINA CS 200MG FR.AMP. 100ML;CLOR.EPIRRUBICINA;PFIZER;3004.20.99;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;NÃO;NACIONAL;SP;;7891268102826;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 892,74 ; R$ -   ; R$ 898,15 ; R$ 901,32 ; R$ 918,99 ; R$ 903,49 ; R$ 850,66 ; R$ 855,85 ; R$ 857,90 ; R$ 872,76 ; R$ 1.162,31 ; R$ 1.400,37 ; R$ 1.408,86 ; R$ 1.417,45 ; R$ 1.452,89 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO CITOTÓXICO - Utilizado no tratamento de vários tipos de câncer (neoplasia): câncer de mama, linfomas, sarcomas de partes moles (câncer dos músculos, cartilagens, gordura, nervos e vasos sanguíneos) câncer gástrico (do estômago), entre outros.;;
01594;30/05/2018;4%;7,00%;FARMORUBICINA CS 50MG FR.AMP.25ML;CLOR.EPIRRUBICINA;PFIZER;3004.20.69;POSITIVA;REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;NÃO;NACIONAL;SP;;7891268102840;3;2,09%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 227,30 ; R$ -   ; R$ 228,68 ; R$ 229,49 ; R$ 233,99 ; R$ 230,04 ; R$ 216,59 ; R$ 217,90 ; R$ 218,44 ; R$ 222,22 ; R$ 322,85 ; R$ 388,97 ; R$ 391,32 ; R$ 393,71 ; R$ 403,55 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO CITOTÓXICO - Utilizado no tratamento de vários tipos de câncer (neoplasia): câncer de mama, linfomas, sarcomas de partes moles (câncer dos músculos, cartilagens, gordura, nervos e vasos sanguíneos) câncer gástrico (do estômago), entre outros.;;
03938;21/05/2018;4%;6,00%;FASLODEX 50MG/ML SOL INJ CT 2SER PREENCH X 5ML + 2AGU;FULVESTRANTO;ASTRAZENECA;3004.39.36;POSITIVA;REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;NÃO;NACIONAL;SP;VERIFICAR FIDELIZE;7896206404437;3;2,09%; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.463,91 ; R$ 5.644,03 ; R$ 5.644,03 ; R$ 5.644,03 ; R$ 5.644,03 ; R$ 5.644,03 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTI-ESTROGÊNIO - Tratamento de mulheres pós-menopausa com carcinoma da mama, localmente avançado ou metastático;;
00331;03/04/2018;4%;;FASTURTEC  1,5 MG  C/ 3 FR. AMP. + 3 DIL.;RASBURICASE;SANOFI-AVENTIS;3004.90.19;POSITIVA;REFRIGERADO;NÃO CONTROLADO;NÃO;REGIME NORMAL;SIM;IMPORTADO;SP;VENDA BRASIL;7897595902740;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.314,66 ; R$ -   ; R$ -   ; R$ 1.330,69 ; R$ 1.363,96 ; R$ 1.314,66 ; R$ 1.314,66 ;; R$ 1.330,69 ; R$ 1.363,96 ; R$ 1.091,16 ; R$ 1.314,66 ; R$ -   ; R$ 1.330,69 ; R$ 1.363,96 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTINEOPLÁSICO - Trat.e profilaxia da hiperuricémia aguda, para prevenir insuficiência renal aguda (com idades entre os 0 e 17 anos) com doenças malignas hematológicas com volume tumoral elevado e em risco de lise ou regressão tumoral rápida aquando do início da quimioterapia.;;
04220;03/04/2018;TABELA;7,40%;FAULBLASTINA 10MG  C/5 FR.AMP.10ML;SULF.VIMBLASTINA;LIBBS;3004.40.10;POSITIVA;REFRIGERADO;NÃO CONTROLADO;Sim;CONVENIO 118;NÃO;NACIONAL;SP;SE PRECISAR PODE TIRAR O CENTAVOS;7896094203006;2;2,47%; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 279,84 ; R$ 302,66 ; R$ 364,65 ; R$ 366,86 ; R$ 369,10 ; R$ 378,33 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;Indicado para o tratamento de vários tipos de câncer, incluindo doença de Hodgkin, sarcoma de Kaposi, linfoma não Hodgkin, e câncer de mama ou dos testículos. Também para tratamento da doença de Letter-Siwe (histiocitose X).;;
01798;03/04/2018;TABELA;7,40%;FAULDACAR 200MG FR.AMP.;DACARBAZINA;LIBBS;3004.40.10;POSITIVA;REFRIGERADO;NÃO CONTROLADO;Sim;CONVENIO 118;NÃO;NACIONAL;SP;SE PRECISAR PODE TIRAR O CENTAVOS;7896094202887;3;2,09%; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 93,74 ; R$ 149,15 ; R$ 179,71 ; R$ 180,80 ; R$ 181,90 ; R$ 186,45 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; ANTINEOPLÁSICO, alquilante - Tratamento de melanoma maligno metastático e na doença de Hodgkin;;
